playerID,birthYear,weight,height,startingAge,awards,hasntBatted,doublePlays,InnOuts,ERA,stikeOutAVG,errorAVG,assistAVG,DoublePlayAVG,BattersAVG,WinsAVG
kisonbr01,1950.0,178.0,76.0,21.42,0,0.0,27.0,380.0,3.66,5.336,0.08,1.477,0.134,38.175,0.572
kissibi01,1871.0,185.0,71.0,23.75,0,0.0,3.0,73.0,6.99,1.719,0.535,2.818,0.085,44.192,0.197
kitsofr01,1869.0,165.0,71.0,28.67,0,0.0,7.0,324.0,3.168,2.982,0.158,2.224,0.028,37.314,0.523
kittran01,1990.0,230.0,73.0,27.33,0,1.0,0.0,85.0,5.139,8.884,0.0,0.61,0.0,39.803,0.348
klagefr01,1943.0,185.0,74.0,22.92,0,0.0,0.0,14.0,3.282,3.431,0.0,0.895,0.0,37.144,0.746
klawial01,1889.0,187.0,71.0,20.5,0,0.0,0.0,7.0,4.2,2.4,0.15,1.8,0.0,39.0,0.3
kleinph01,1989.0,255.0,79.0,25.33,0,1.0,1.0,40.0,5.497,8.731,0.162,0.485,0.162,40.581,0.323
klimkro01,1944.0,190.0,74.0,25.5,0,0.0,2.0,90.0,2.905,3.762,0.143,1.524,0.095,37.286,0.381
klinebr01,1991.0,210.0,75.0,27.58,0,1.0,0.0,34.0,5.927,7.463,0.0,0.439,0.0,40.171,0.22
klinero01,1932.0,205.0,75.0,20.08,0,0.0,22.0,709.0,3.751,4.283,0.087,1.347,0.095,38.408,0.494
klinest01,1947.0,200.0,75.0,22.75,0,0.0,10.0,129.0,3.263,2.879,0.108,1.727,0.12,37.016,0.516
klinest02,1972.0,200.0,74.0,24.67,0,0.0,7.0,796.0,3.509,6.503,0.092,1.464,0.092,38.779,0.448
klingbi01,1867.0,190.0,72.0,24.58,0,0.0,0.0,16.0,5.172,3.414,0.103,1.552,0.0,42.621,0.414
klingsc01,1971.0,205.0,74.0,23.33,0,1.0,0.0,39.0,6.913,4.891,0.065,1.043,0.0,41.935,0.326
klinkjo01,1962.0,170.0,71.0,25.17,0,1.0,2.0,176.0,4.263,5.138,0.0,0.711,0.109,39.68,0.547
